object	rc	first error
version.o	0	
view.o	0	
visibilitymap.o	0	
wait_error.o	0	
wait_error_shlib.o	0	
wait_error_srv.o	0	
wait_event.o	0	
wait_event_funcs.o	0	
waitfuncs.o	0	
walreceiver.o	0	
walreceiverfuncs.o	0	
walsender.o	0	
walsummarizer.o	0	
walsummary.o	0	
walsummaryfuncs.o	0	
walwriter.o	0	
wchar.o	0	
wchar_shlib.o	0	
wchar_srv.o	0	
windowfuncs.o	0	
worker.o	0	
wparser.o	0	
wparser_def.o	0	
wstrcmp.o	0	
wstrncmp.o	0	
xact.o	0	
xactdesc.o	0	
xid.o	0	
xid8funcs.o	0	
xlog.o	0	
xlogarchive.o	0	
xlogbackup.o	0	
xlogdesc.o	0	
xlogfuncs.o	0	
xloginsert.o	0	
xlogprefetcher.o	0	
xlogreader.o	0	
xlogrecovery.o	0	
xlogstats.o	0	
xlogutils.o	0	
xml.o	0	
